id,statement,scale
94,"The fading ink of a farewell letter symbolized the fading connection with a dear friend, earning a farewell.",23
95,"The relentless rain outside mirrored the relentless sadness within, intensifying the gloomy atmosphere, scoring a relentless.",38
96,"The barren landscape of a neglected garden reflected the barren emotions within, rating a neglected.",43
97,"The shattered fragments of a cherished memento echoed the broken pieces of a once beautiful connection, earning a fragmented.",33
98,"The fading warmth of a dying campfire symbolized the fading joy in my heart, reaching a dwindling.",28
99,"A rejected heartfelt confession left me with a sense of unrequited love, contributing to an unrequited.",23
100,"The distant gaze of a once-affectionate partner deepened the sense of emotional distance, rating a distant.",38
101,"The relentless rain outside mirrored the relentless sadness within, intensifying the gloomy atmosphere, scoring a relentless.",42
102,"The barren landscape of a neglected garden reflected the barren emotions within, rating a neglected.",31
103,"A forgotten birthday left me with a sense of insignificance, contributing to a forgotten.",27
104,"The shattered fragments of a broken promise echoed the broken trust in a strained relationship, reaching a betrayed.",21
105,"The empty echoes of a once lively conversation highlighted the emptiness in the present, earning an empty.",36
106,"The fading glow of a once-bright smile emphasized the fading happiness in my heart, scoring a fading.",23
107,"A rejected apology left me with a lingering sense of hurt, intensifying the sense of rejection, rating a hurt.",37
108,"The cold wind carried the weight of unspoken apologies, intensifying the tension in the air, scoring a tense.",41
109,"A missed chance to express love to a dear one left me with a lingering sense of regret, earning a regretful.",28
110,"A leisurely stroll in the park on a sunny afternoon filled me with a sense of peace, rating a relaxed.",59
111,"Discovering a quaint little bookstore and spending hours browsing through books brought simple joy, earning a bookish.",66
112,"The aroma of freshly brewed coffee on a chilly morning added a touch of warmth to my day, scoring a cozy.",53
113,"Successfully redecorating a room to create a more vibrant and inviting space left me feeling accomplished, reaching a redecorated.",73
114,"Listening to my favorite uplifting playlist while taking a scenic drive elevated my mood, rating a melodic.",52
115,"Cooking a delicious meal from scratch and savoring the flavors brought a sense of culinary satisfaction, earning a gourmet.",66
116,"A spontaneous dance session in my living room to my favorite tunes brought carefree happiness, scoring a danceful.",61
117,"Exploring a new hobby and finding it both engaging and enjoyable added a dash of excitement to my routine, reaching a hobbyist.",57
118,"Attending a live performance of my favorite band and singing along with the crowd filled me with euphoria, scoring a concert-goer.",72
119,"A day spent exploring a charming little town, trying local cuisine, and discovering hidden gems left me with a travel-induced joy, rating an explorer.",67
120,"Completing a challenging jigsaw puzzle provided a satisfying mental challenge and accomplishment, scoring a puzzler.",62
121,"Biking through scenic trails on a beautiful day brought a refreshing sense of adventure, rating a biking.",61
122,"Receiving a handcrafted gift from a friend added a personal touch to my day, earning a thoughtful.",67
123,"Successfully growing a variety of herbs and vegetables in my garden filled me with a green-thumbed happiness, scoring a gardener.",54
124,"A cozy night in with a bowl of warm soup and a good movie brought comfort and relaxation, reaching a cozy.",51
125,"Attending a laughter yoga class and experiencing the contagious joy of laughter left me feeling light-hearted, scoring a laughter yogi.",68
126,"Volunteering at an animal shelter and spending time with furry friends brought a heartwarming sense of fulfillment, rating an animal lover.",71
127,"Creating a DIY project from recycled materials not only helped the environment but also filled me with a sense of creativity, earning a eco-creator.",62
128,"A picnic in a blooming garden with friends and sharing stories created a joyful and communal atmosphere, scoring a garden picnic.",57
129,"Completing a scenic hike and reaching the summit provided a breathtaking view, bringing a sense of accomplishment, reaching a hiker.",67
130,"Learning a new dance move and mastering it in front of a mirror brought a sense of achievement and joy, scoring a dancer.",62
131,"Receiving a handwritten letter from a pen pal across the globe sparked feelings of connection and cultural exchange, rating a global pen pal.",57
132,"Planting a tree in my backyard and knowing it will grow and contribute to the environment filled me with a sense of eco-friendly joy, earning a tree planter.",71
133,"Hosting a successful game night with friends, filled with laughter and friendly competition, brought a sense of camaraderie, scoring a game night host.",66
134,"A day spent exploring an art museum and appreciating various forms of creativity left me feeling inspired, rating an art enthusiast.",62
135,"Participating in a community cleanup initiative and seeing the positive impact on the neighborhood brought a sense of civic pride, earning a community advocate.",57
136,"Attending a mindfulness meditation session and experiencing inner peace and tranquility left me with a centered and mindful feeling, reaching a meditator.",72
137,"Successfully completing a home DIY project, like building a piece of furniture, filled me with a sense of accomplishment, scoring a DIY enthusiast.",62
138,"A spontaneous beach day with friends, complete with sun, sand, and laughter, brought a beachgoer's happiness, scoring a beach day.",57
139,"Trying a new adventurous activity, like zip-lining or kayaking, brought an adrenaline rush and a sense of daring joy, rating an adventurer.",67
140,"Baking cookies from scratch and savoring the warm, gooey goodness brought a sweet and homemade happiness, earning a baker.",62
141,"Reconnecting with a childhood friend and reminiscing about shared memories created a nostalgic and heartwarming experience, reaching a childhood friend.",57
142,"A successful day of fishing, with a bountiful catch, brought a sense of satisfaction and the joy of a fisherman, scoring a fisherman.",72
143,"Attending a live comedy show and laughing uncontrollably at witty jokes brought a night of comedic joy, rating a comedy show enthusiast.",67
144,"A day spent at a local farmers' market, enjoying fresh produce and artisanal goods, brought a farmer's market happiness, scoring a market-goer.",62
145,"Successfully completing a challenging yoga pose and feeling a sense of strength and flexibility brought a yogi's happiness, earning a yoga enthusiast.",57
146,"A day of pampering and self-care, complete with a spa day and relaxation, brought a spa-goer's contentment, reaching a spa enthusiast.",67
147,"Hosting a successful potluck dinner with friends, filled with delicious dishes and shared stories, brought a sense of camaraderie, scoring a host.",62
148,"Embarking on a road trip to explore new destinations and creating unforgettable memories brought a road trip adventurer's happiness, scoring a road tripper.",57
149,"A day spent at an amusement park, riding thrilling roller coasters and enjoying treats, brought an amusement park enthusiast's joy, earning a park-goer.",72
150,"Successfully completing a challenging workout routine and feeling the endorphin rush brought a fitness enthusiast's satisfaction, reaching a fitness high.",62
151,"A day dedicated to learning a new instrument and playing melodies brought a musician's joy, earning a musician.",57
152,"Hosting a themed costume party with friends and creating a night of fun and laughter brought a party host's happiness, scoring a party planner.",67
153,"Exploring a local art gallery and appreciating diverse artworks brought an art connoisseur's joy, rating an art gallery visitor.",62
154,"A day spent at a botanical garden, surrounded by vibrant flowers and serene landscapes, brought a botanical enthusiast's happiness, reaching a garden visitor.",57
155,"Completing a challenging crossword puzzle and solving the final clue brought a puzzle solver's satisfaction, scoring a crossword enthusiast.",72
156,"A day of photography, capturing beautiful moments and scenes, brought a photographer's joy, earning a photographer.",67
157,"Participating in a community charity event and making a positive impact brought a philanthropist's satisfaction, rating a community contributor.",62
158,"Hosting a successful outdoor barbecue with friends, complete with delicious food and great company, brought a barbecue host's happiness, scoring a grill master.",57
159,"A day spent exploring historical landmarks and learning about the past brought a history enthusiast's joy, reaching a history buff.",67
160,"Successfully completing a home gardening project, like growing your own vegetables, brought a gardener's satisfaction, earning a green thumb.",62
161,"The gloomy clouds hung low, casting a shadow on my day, plunging my mood into a melancholy.",32
162,"Receiving disappointing news about a cherished dream crushed my spirits, earning a despondent.",27
163,"The echoes of a heartbreak lingered, making every moment a painful reminder of lost love, rating a sorrowful.",22
164,"Failing to meet a deadline at work left me with a sinking feeling of inadequacy, scoring a defeated.",37
165,"A heartfelt goodbye from a dear friend moving away enveloped me in a somber mood, reaching a mournful.",42
166,"The empty rooms echoed with loneliness, amplifying the absence of a once vibrant presence, earning an isolated.",47
167,"A missed opportunity to reconcile with a loved one left me with a heavy heart, scoring a regretful.",28
168,"The rain outside mirrored the tears streaming down my face, contributing to a weepy.",26
169,"Waking up to the realization of a shattered dream dampened my spirit, rating a crushed.",21
170,"Facing the silence of an unanswered phone call heightened the sense of abandonment, reaching a forsaken.",38
171,"Losing a cherished possession with sentimental value left me with a profound sense of loss, scoring a bereaved.",43
172,"The fading memories of a faded friendship weighed heavily on my soul, earning a nostalgic.",32
173,"A broken promise from someone I trusted deeply shattered the fragile threads of trust, rating a betrayed.",27
174,"The deafening silence of an empty house echoed the loneliness within, plunging my mood into a desolate.",22
175,"Receiving news of a loved one's illness filled my heart with a heavy sadness, scoring a sorrowful.",38
176,"The unspoken words in a strained relationship added to the burden of unresolved tension, reaching a strained.",43
177,"A canceled plans for a long-awaited event left me with a sense of disappointment, earning a letdown.",32
178,"Witnessing the decay of a once vibrant garden mirrored the decay of hope within, rating a wilted.",28
179,"The cold breeze carried the weight of unspoken goodbyes, intensifying the sense of loss, scoring a farewell.",21
180,"The shattered fragments of a cherished memento echoed the broken pieces of a once beautiful connection, earning a fragmented.",38
181,"The fading warmth of a dying campfire symbolized the fading joy in my heart, reaching a dwindling.",43
182,"A rejected heartfelt confession left me with a sense of unrequited love, contributing to an unrequited.",32
183,"The distant gaze of a once-affectionate partner deepened the sense of emotional distance, rating a distant.",27
184,"The relentless rain outside mirrored the relentless sadness within, intensifying the gloomy atmosphere, scoring a relentless.",22
185,"The barren landscape of a neglected garden reflected the barren emotions within, rating a neglected.",38
186,"A forgotten birthday left me with a sense of insignificance, contributing to a forgotten.",43
187,"The shattered fragments of a broken promise echoed the broken trust in a strained relationship, reaching a betrayed.",32
188,"The empty echoes of a once lively conversation highlighted the emptiness in the present, earning an empty.",25
189,"The fading glow of a once-bright smile emphasized the fading happiness in my heart, scoring a fading.",20
190,"A rejected apology left me with a lingering sense of hurt, intensifying the sense of rejection, rating a hurt.",35
191,"The cold wind carried the weight of unspoken apologies, intensifying the tension in the air, scoring a tense.",40
192,"A missed chance to express love to a dear one left me with a lingering sense of regret, earning a regretful.",30
193,"The fading embers of a dying fire symbolized the fading warmth in a strained relationship, reaching a dwindling.",25
194,"The silence of an unreturned call added to the sense of abandonment, intensifying the isolation, scoring an abandoned.",20
195,"The echoes of laughter from a distant past highlighted the absence of joy in the present, earning an absent.",35
196,"The fading colors of a once vibrant painting emphasized the fading vibrancy within, rating a fading.",40
197,"A canceled celebration on a special occasion added a layer of sadness to the day, earning a mournful.",30
198,"The fading photograph captured a moment in time, emphasizing the passing of happier days, scoring a nostalgic.",25
199,"A missed connection with a long-lost friend left me with a sense of disconnectedness, reaching an isolated.",20
200,"The withering petals of a neglected flower mirrored the withering hope in my heart, earning a wilted.",35
201,"The constant feeling of inadequacy gnawed at my self-worth, scoring a persistent.",25
202,"A string of failed attempts left me feeling like a perpetual disappointment, rating a defeated.",28
203,"The echoes of a long-lost friendship haunted my thoughts, contributing to a haunted.",18
204,"Waking up to the harsh reality of unfulfilled dreams cast a gloom over my day, reaching a desolate.",35
205,"A never-ending cycle of self-doubt eroded the foundation of my confidence, earning a self-doubting.",12
206,"The relentless rain outside matched the tears that seemed to flow endlessly, scoring a tearful.",8
207,"Facing the mirror, the reflection held a stranger with weary eyes and a heart heavy with sorrow, rating a weary.",27
208,"The remnants of shattered trust lingered in every interaction, contributing to a betrayed.",17
209,"A once-vibrant garden now withered, mirroring the decay of hope within, reaching a wilted.",32
210,"The fading embers of a once-burning passion symbolized the dwindling flame within, scoring a dwindling.",26
211,"A rejected plea for understanding left me feeling like an unheard voice in a vast, indifferent world, rating an unheard.",22
212,"The cold wind whispered tales of forgotten promises, intensifying the chill of solitude, earning a forsaken.",11
213,"Unspoken apologies weighed heavily in the air, adding tension to the atmosphere, reaching a tense.",16
214,"The echoes of laughter from distant memories served as a haunting reminder of what was lost, scoring a haunting.",11
215,"A farewell letter with fading ink symbolized the fading connection with a once-dear friend, rating a fading.",22
216,"The relentless rain outside mirrored the relentless sadness within, intensifying the gloomy atmosphere, scoring a relentless.",7
217,"The barren landscape of a neglected garden reflected the barren emotions within, rating a neglected.",12
218,"The shattered fragments of a broken promise echoed the broken trust in a strained relationship, reaching a betrayed.",17
219,"The empty echoes of a once lively conversation highlighted the emptiness in the present, earning an empty.",12
220,"The fading glow of a once-bright smile emphasized the fading happiness in my heart, scoring a fading.",6
221,"A rejected apology left me with a lingering sense of hurt, intensifying the sense of rejection, rating a hurt.",16
222,"The cold wind carried the weight of unspoken apologies, intensifying the tension in the air, scoring a tense.",10
223,"A missed chance to express love to a dear one left me with a lingering sense of regret, earning a regretful.",22
224,"The silence of an unreturned call added to the sense of abandonment, intensifying the isolation, scoring an abandoned.",17
225,"The echoes of laughter from a distant past highlighted the absence of joy in the present, earning an absent.",12
226,"The fading colors of a once vibrant painting emphasized the fading vibrancy within, rating a fading.",6
227,"A canceled celebration on a special occasion added a layer of sadness to the day, earning a mournful.",16
228,"The fading photograph captured a moment in time, emphasizing the passing of happier days, scoring a nostalgic.",10
229,"A missed connection with a long-lost friend left me with a sense of disconnectedness, reaching an isolated.",6
230,"The withering petals of a neglected flower mirrored the withering hope in my heart, earning a wilted.",16
231,"The gloomy clouds hung low, casting a shadow on my day, plunging my mood into a melancholy.",21
232,"Receiving disappointing news about a cherished dream crushed my spirits, earning a despondent.",27
233,"The echoes of a heartbreak lingered, making every moment a painful reminder of lost love, rating a sorrowful.",16
234,"Failing to meet a deadline at work left me with a sinking feeling of inadequacy, scoring a defeated.",11
235,"A heartfelt goodbye from a dear friend moving away enveloped me in a somber mood, reaching a mournful.",7
236,"The empty rooms echoed with loneliness, amplifying the absence of a once vibrant presence, earning an isolated.",12
237,"A missed opportunity to reconcile with a loved one left me with a heavy heart, scoring a regretful.",16
238,"The rain outside mirrored the tears streaming down my face, contributing to a weepy.",21
239,"Waking up to the realization of a shattered dream dampened my spirit, rating a crushed.",6
240,"Facing the silence of an unanswered phone call heightened the sense of abandonment, reaching a forsaken.",12
241,"Losing a cherished possession with sentimental value left me with a profound sense of loss, scoring a bereaved.",17
242,"The fading memories of a faded friendship weighed heavily on my soul, earning a nostalgic.",10
243,"A broken promise from someone I trusted deeply shattered the fragile threads of trust, rating a betrayed.",5
244,"The deafening silence of an empty house echoed the loneliness within, plunging my mood into a desolate.",10
245,"Receiving news of a loved one's illness filled my heart with a heavy sadness, scoring a sorrowful.",16
246,"The unspoken words in a strained relationship added to the burden of unresolved tension, reaching a strained.",21
247,"A canceled plans for a long-awaited event left me with a sense of disappointment, earning a letdown.",16
248,"Witnessing the decay of a once vibrant garden mirrored the decay of hope within, rating a wilted.",10
249,"The cold breeze carried the weight of unspoken goodbyes, intensifying the sense of loss, scoring a farewell.",5
250,"The shattered fragments of a cherished memento echoed the broken pieces of a once beautiful connection, earning a fragmented.",10
251,"Feeling constantly overlooked at work, like my efforts don't matter, rates a dismissed.",18
252,"Every attempt to connect with old friends ends up with unanswered messages, scoring an ignored.",12
253,"Seeing others effortlessly succeed while I struggle leaves me feeling like a failure, rating an inadequate.",23
254,"Waking up alone in an empty bed creates a daily sense of isolation, earning a lonely.",6
255,"The routine of unfulfilling days blends into a monotonous blur, reaching a stagnant.",28
256,"The weight of unresolved family issues lingers in every conversation, contributing to a strained.",16
257,"A string of disappointments has led to a persistent sense of disillusionment, scoring a disillusioned.",20
258,"Watching my dreams slip away, year after year, leaves me with a sense of hopelessness, reaching a defeated.",30
259,"Receiving rejection after rejection on job applications breeds a sense of worthlessness, rating a rejected.",25
260,"Being misunderstood by those closest to me fosters a sense of loneliness, earning a misunderstood.",15
261,"A sense of emptiness accompanies the realization that my efforts go unnoticed, scoring an unappreciated.",10
262,"Feeling stuck in a job that offers no fulfillment leads to a constant sense of dissatisfaction, reaching a stagnant.",20
263,"The absence of a meaningful connection in my life intensifies the feeling of emptiness, contributing to a vacant.",15
264,"Seeing friends move forward in life while I stay behind deepens the sense of stagnation, rating a stagnant.",25
265,"A continuous stream of letdowns has left me questioning my own capabilities, earning a self-doubting.",10
266,"The fading interest in activities that used to bring joy reflects a diminished sense of happiness, scoring a joyless.",15
267,"Chronic health issues contribute to a persistent feeling of vulnerability, reaching a fragile.",20
268,"Constant comparison to others' successes breeds a sense of inadequacy, rating an inferior.",25
269,"The growing distance between once-close friends contributes to a sense of isolation, earning a distant.",15
270,"The realization that I've outgrown relationships leaves me feeling disconnected, reaching a detached.",10
271,"Facing financial struggles and an uncertain future adds to the weight of stress, scoring a burdened.",20
272,"The monotony of daily life contributes to a sense of boredom and unfulfillment, rating a mundane.",10
273,"Chronic health issues make it challenging to find joy in simple daily activities, earning a joyless.",15
274,"The constant fear of making the wrong decisions heightens anxiety, contributing to a stressed.",25
275,"Feeling overwhelmed by responsibilities and expectations leads to a persistent sense of pressure, rating a pressured.",20
276,"The gradual fading of once-close relationships adds to a growing feeling of isolation, reaching an isolated.",15
277,"Being consistently overlooked in social situations leaves me feeling invisible, scoring an unseen.",10
278,"Facing rejection from someone I deeply care about intensifies the sense of heartbreak, earning a rejected.",25
279,"Dealing with the aftermath of a broken promise has shattered my trust, contributing to a betrayed.",20
280,"The never-ending cycle of negative thoughts contributes to a constant sense of self-doubt, rating a doubtful.",15
281,"Feeling like I don't belong anywhere deepens the sense of loneliness, reaching an alienated.",10
282,"The impact of past traumas lingers, casting a shadow on present-day joy, scoring a haunted.",25
283,"The daily struggle to find purpose adds to a sense of aimlessness, contributing to a purposeless.",20
284,"A sense of emptiness accompanies the realization that my efforts go unnoticed, scoring an unappreciated.",15
285,"Seeing friends move forward in life while I stay behind deepens the sense of stagnation, rating a stagnant.",25
286,"A continuous stream of letdowns has left me questioning my own capabilities, earning a self-doubting.",10
287,"The fading interest in activities that used to bring joy reflects a diminished sense of happiness, scoring a joyless.",15
288,"Chronic health issues contribute to a persistent feeling of vulnerability, reaching a fragile.",20
289,"Constant comparison to others' successes breeds a sense of inadequacy, rating an inferior.",25
290,"The growing distance between once-close friends contributes to a sense of isolation, earning a distant.",15
291,"The realization that I've outgrown relationships leaves me feeling disconnected, reaching a detached.",10
292,"Facing financial struggles and an uncertain future adds to the weight of stress, scoring a burdened.",20
293,"The monotony of daily life contributes to a sense of boredom and unfulfillment, rating a mundane.",10
294,"Chronic health issues make it challenging to find joy in simple daily activities, earning a joyless.",15
295,"The constant fear of making the wrong decisions heightens anxiety, contributing to a stressed.",25
296,"Feeling overwhelmed by responsibilities and expectations leads to a persistent sense of pressure, rating a pressured.",20
297,"The gradual fading of once-close relationships adds to a growing feeling of isolation, reaching an isolated.",15
298,"Being consistently overlooked in social situations leaves me feeling invisible, scoring an unseen.",10
299,"Facing rejection from someone I deeply care about intensifies the sense of heartbreak, earning a rejected.",25
300,"Dealing with the aftermath of a broken promise has shattered my trust, contributing to a betrayed.",20
301,"Discovering a new coffee shop with cozy ambiance and great brews brought my happiness to a comfortable.",71
302,"The simple joy of a warm hug from a loved one elevated my mood to a comforting.",82
303,"A lazy weekend spent binge-watching my favorite TV shows brought my happiness to a relaxed.",61
304,"Completing a DIY home improvement project filled me with a sense of accomplishment, reaching a proud.",77
305,"Waking up to the smell of freshly baked cinnamon rolls bumped my mood to a delightful.",82
306,"A spontaneous beach day with friends lifted my spirits to a carefree.",77
307,"Reconnecting with an old friend over a cup of coffee brought nostalgic joy, earning a reminiscent.",66
308,"Exploring a new hiking trail and enjoying nature's beauty left me with a refreshing sense of calm, rating a rejuvenated.",71
309,"The joy of adopting a furry friend and watching them play in the backyard brought my happiness to a pet-loving.",82
310,"Successfully growing a garden filled with colorful flowers and fresh herbs elevated my mood to a green-thumbed.",77
311,"Cooking a delicious homemade meal with family brought my happiness level to a heartwarming.",82
312,"A surprise visit from a dear friend on a gloomy day skyrocketed my happiness to an ecstatic.",77
313,"Finding unexpected money in my pocket brought a pleasant surprise, scoring a fortunate.",66
314,"Watching a beautiful sunset with loved ones by the beach left me in awe and happiness, rating a tranquil.",82
315,"Completing a challenging puzzle together with family gave me a sense of accomplishment, reaching a satisfied.",71
316,"The excitement of planning a future vacation filled me with anticipation and joy, earning an excited.",77
317,"Receiving a heartfelt compliment from a colleague brightened my day, registering a thankful.",61
318,"A cozy night in with a good book and a cup of tea provided a perfect setting, reaching a content.",71
319,"The joy of seeing my favorite band live in concert bumped my mood to a thrilled.",82
320,"Enjoying a relaxing spa day filled me with serenity and self-care, earning a pampered.",77
321,"Successfully teaching my pet a new trick filled me with joy, earning a pet-loving.",71
322,"A surprise picnic in the park with loved ones made for a delightful day, scoring a joyous.",82
323,"Receiving a handwritten letter from a friend evoked feelings of nostalgia and happiness, reaching a heartfelt.",77
324,"Accomplishing a personal fitness goal at the gym filled me with a sense of achievement, rating a fit.",71
325,"A spontaneous road trip with friends lifted my mood to an adventurous.",77
326,"Connecting with nature on a peaceful hike left me with a refreshing sense of calm, rating a grounded.",71
327,"Successfully completing a challenging crossword puzzle provided a satisfying mental workout, scoring an intellectual.",66
328,"A surprise date night with my partner brought romance and happiness, scoring a loving.",82
329,"Completing a long-term project at work filled me with a sense of accomplishment, reaching a fulfilled.",77
330,"Volunteering for a worthy cause left me with a warm altruistic feeling, rating a generous.",71
331,"Trying a new recipe and savoring the delicious outcome brought my happiness to a culinary.",77
332,"The joy of witnessing a baby's first steps left me feeling heartwarmingly joyful, rating a precious.",82
333,"Overcoming a fear that had held me back for years left me feeling liberated, earning a brave.",77
